ID	Title	Keywords	Orders	ground_text
0	斜阳巷里倾城不规则剪裁的设计师款修身百搭大方春秋长裙女搭配亲肤版型原创	搭配;亲肤;版型;原创	3;1;2;0	这款原创半身裙,面料摸起来手感软软的,上身也比较亲肤。宽松的版型,舒适百搭的款式,反正是很百搭的设计。设计上大气又带着淡淡的复古感,将精致的生活态度融入于设计。无论什么场景,只要简单搭配,就可以散发满满的复古的气息,点燃时尚风情哦。
1	现货川久保玲专柜女款男款短袖t恤字母款黑白爱心趣味字母	黑白;爱心;趣味;字母	1;3;2;0	川久保玲作为一名国际级时装设计师,她的自创品牌cdg旗下的play爱心系列已经席卷了街头巷尾,而这件t恤又玩出了新花样,再次证明了这位鬼才设计师的实力,随着恶搞风尚来袭,这次将play字母进行倒立,依旧是趣味不减,大方表明身份的同时吸睛无数,黑白经典的配色显得大方又简约。
2	特价合作版工装上衣泡泡纱面料日本制品质保证现货小翻领显示泡泡纱竖条纹	小翻领;显示;泡泡纱;竖条纹	2;3;1;0	这款evisu的衬衫采用泡泡纱的材质,手感更加丝滑细腻,硬挺度更佳,在视觉上给人以高品质的感受;而同时,简洁的竖条纹装饰,不张扬却显示出自我的个性,显得清新自然;别致的小翻领,更凸显时髦气质。
3	[简]汉尼长袖衬衫商务透气男天丝修身白衬衣格子时尚正装搭配透气天丝	搭配;透气;天丝	1;2;0	这件hany商务透气天丝衬衣,本身的设计风格就是商务休闲的,所以在搭配的选择上,可以穿上一条休闲西裤,就能帮你更好的展现出出色的气质,让你气质十足。
4	t-三亚海边度假吊带沙滩裙女夏季新款雪纺连衣裙蛋糕裙子版型减龄涤纶	版型;减龄;涤纶	0;1;2	构筑出小仙女气质的连衣裙,蛋糕裙的版型,拥有视觉的减龄效果,轻松就能提升了整体的洋气范。轻盈感十足的涤纶材质,拥有透气性的穿着感,打造出惬意与自在的穿着感,丝毫不觉得约束感和闷热。
5	欧泊蕾新款经典凤凰刺绣亮片抹胸绑带齐地礼服红色新娘结婚敬酒服圆摆小缝钻收身	圆摆;小;缝钻;收身	2;1;0;3	胸前软纱提高抹胸层次感和立体感。手工缝钻,更好的显现出胸部线条。凤凰刺绣,弥漫着浓浓的东方情调。齐地小圆摆,行走方便,弧线更加流畅自然。收身
6	t-宫廷复古风粉色棉麻连衣裙夏季新款宽松喇叭袖a字裙子蕾丝花边版型放大喇叭袖	蕾丝花边;版型;放大;喇叭袖	0;3;1;2	连衣裙运用蕾丝花边的相呼应,带来清纯且不简单的美感,同时综合了整体的色彩感。灵动感十足的喇叭袖,起到了修饰的作用,举手抬足间尽显出浪漫的氛围。a字裙的版型,高腰的设计,无限放大了俏皮一面。
7	四季出品川久保玲白色红半心t恤男女情侣下摆爱心趣味红色	下摆;爱心;趣味;红色	1;0;3;2	白色衣身清新百搭,很显阳光干净,经典的川久保玲爱心图样时髦又透着俏皮活力,下摆处的红色爱心只露出一半,更显趣味感和品牌的“play”意味。
8	杰西伍修身牛仔外套女时尚女装休闲短款新款短外套开衫夹克式数字廓形	夹克式;数字;廓形	0;2;1	极具质感的一款小西装,演绎出了街头率性的酷感时尚,独特的夹克式廓形帅气数字,衣领还采用拼接的设计
9	邢氏女装夏季修身大码a字裙女气质显瘦v领裙子妈妈装无袖连衣裙v领纤细无袖	v领;纤细;无袖	0;2;1	复古的右襟交颈及v领领口设计,修饰女性颈部锁骨线条,呈现女性优雅天鹅颈,增添十足的女人味。精致的亮片点缀,彰显出裙身独特的设计感,打造青春动感的活力。融合气质无袖设计,修饰手臂纤细线条,勾勒出女性极致的优雅美。
10	现货小马标男士休闲圆领/v领t恤撞色版型清爽基础款	撞色;版型;清爽;基础款	3;2;0;1	多色基础款的t恤,在夏季怎么穿都是非常的清爽自在,总有一款是你夏天所需,胸侧处的小马标刺绣点缀,大胆的撞色带来的视觉感很出挑,宽松的版型更受欢迎,自由无拘束的舒适感让人不能拒绝,是休闲运动风的精致升级。
11	民族风女装春夏宽松灯笼裤女低档裤松紧腰个性时尚休闲亚麻大码裤搭配透气亚麻紧身	搭配;透气;亚麻;紧身	3;0;2;1	穿就要穿得有范,宽松灯笼休闲裤就让你很有范,这是一款以上下不同颜色,上下紧身为特点,每种颜色的拼接有样,适合搭配各种款式衣服,鞋子,再配上一条时尚腰带,会是不错的选择,它更好的是有着天然亚麻会呼吸的面料,透气,凉爽,好洗,意干,还会散发淡淡的隐香。
12	杰西伍春装女装pu皮短外套长袖百搭休闲上衣开衫女皮衣撞色无领灰色褶皱	撞色;无领;灰色;褶皱	1;3;2;0	经典的无领设计,是为了拉上拉链时的帅气,自然的褶皱设计,优质的皮料会随着时间增加令人喜悦的光泽,知性的独特的灰色,绝不会和人撞衫撞色。《欧范
13	第七公社秋季男士长袖t恤字母印花老a大队特种兵t恤打底衫潮高弹性弹力圆领	高弹性;弹力;圆领	1;0;2	优良的弹力和延展性,穿起来自然舒适,好的体验,高弹性,无拘无束!人体科学设计,圆领领口设计,拉高颈部比例,更显气质出众!
14	汉尼纯棉免烫法式衬衫长袖商务修身正装男士青年结婚白衬衣小修身纹理版型	小;修身;纹理;版型	1;3;2;0	衣服修身的版型衬托好身材,麦穗纹理更赋予衣服艺术的生命力。采用精湛的工艺,让衣服轮廓更平整大方,穿出型男气质,衬托商务利落风情。衬衫属于意式风格,穿着也彰显个性优雅的风格特质。小细节的创新成就衬衫小巧精致作风的过渡。
15	棉的超修身英伦卡其色中长款风衣气质款双排扣收腰显瘦秋冬外套修身版型显瘦	修身;版型;显瘦	0;1;2	时尚百搭双排扣风衣,修身的版型上身显瘦无臃肿感,可以很好的展现出线条的美感。整体使用了双排扣的设计,彰显出了浓浓的英伦时尚风格,外观色彩纯净舒适,更好的展现出了衣服的大气感,显得更加百搭耐看不易过时,展现出女性的大方感。
16	高端定制青年男士风衣外套长款冬季英伦羊呢大衣毛呢子厚高端耐磨领型戗驳领	高端;耐磨;领型;戗驳领	3;2;0;1	经典时尚的西装戗驳领领型设计,让男士在流行和传统中徘徊,简约而不简单。衣身由经验丰富的缝纫师傅,高端的手工制作,走线更精准。双排扣设计尽显优雅风范,定制的纽扣耐磨精致。简约的斜插口袋设计,彰显男士自由乐活态度。
17	春夏季亚麻裤男商务舒适休闲裤修身直筒九分裤男士长裤导热亚麻吸湿	导热;亚麻;吸湿	1;2;0	商务休闲且兼顾时下流行的哈伦裤设计风格,时尚的哦~优质亚麻面料,吸湿导热,透气性佳。
18	第五街冬季女装修腿保温针织牛仔裤显瘦加厚弹力牛仔长裤女深色修身减肥超显瘦	深色;修身;减肥;超显瘦	1;0;3;2	每个人都得备上好几条的修身牛仔裤,有时候对自己的身材没自信,可能是因为穿错了裤子,一条修身简约的深色牛仔裤,满足各个场景的穿搭需求,加上小心机的腰线,提臀线设计,更显出火辣身材,加上小脚裤这种超显瘦利器,不用减肥也能自信走出家门。
19	经典老款折扣现货&男款字母长袖t恤多色单穿直接透气内搭	单穿;直接;透气;内搭	2;3;1;0	时尚百搭t恤,时刻拥有潮男气息,此款t恤精选舒适的面料,穿着更加舒适透气,无论是作为内搭,或是直接单穿,都能让你轻松穿出型男范儿,下身可以搭一条休闲裤或者牛仔裤,更帅气哦。
20	忆旧棉麻记夏季新款亚麻阔腿裤大码女裤休闲裤文艺宽松女装长裤子阔腿版型宽大遮盖	阔腿;版型;宽大;遮盖	0;1;2;3	文艺极简的风格,满足了中国女性内敛、不张扬、有自己独特审美的着装要求。宽松设计的裙身巧妙包容身材,凸显婀娜曼妙的身姿,气质感十足。阔腿版型,宽大的裤腿能够遮盖任何腿型,也可以遮盖腿上的赘肉让穿着者精神干练。
21	此时风味经典高腰弹力直筒牛仔裤女宽松bf风拉链休闲长裤秋冬拉伸牛仔耐磨版型	拉伸;牛仔;耐磨;版型	1;2;3;0	牛仔裤的出镜率一直排在着装的前列,因其牛仔的耐磨与舒适性,适合任何一个季节的穿着。高腰版型的直筒裤设计,拉伸身材比例,营造出大长腿的即视感,且包容不完美的腿部线条。经水洗工艺的处理,颜色呈现出错落的复古致感。
22	风衣加厚内胆长款皮毛一体女外套大衣仿羊羔毛皮草棉衣咖啡廓形元素品质	咖啡;廓形;元素;品质	0;2;3;1	外套采用经典的咖啡色调,精致却丝毫不显繁复的细节元素,结合有品质的面料材质,裁剪和廓形都彰显出独特的格调。
23	珍贝正品秋冬新款木耳边半高领通勤淑女纯羊绒衫女针织套头打底衫小黑色大红色	小;黑色;大红色	1;2;0	开衫有不同颜色,给人不同色彩感觉,黑色的开衫配着有色彩的职业女裤,再配一个有英伦气息的帽子,加上一个大气的包包,给人一种精干,时尚,成熟女性气息,让人感到自己的魅力,大红色开衫,配以小短裙,加上一双精致的高跟鞋,让人感觉神秘感,让人有无上憧憬。
24	牛仔连体裤女夏季新款韩版宽松工装大码修身显瘦阔腿薄款短裤迷人搭配抽绳单排	迷人;搭配;抽绳;单排	2;1;0;3	腰间的抽绳搭配,抽拉方便实用性强,勾勒出迷人的身形,具有吸睛夺目的效果。双侧的口袋设计,丰富画面的层次感,收录生活中的小件物品。实用的单排纽扣,方便日常的穿脱。
25	.【上新】圣迪奥专柜正品高领宽身气场毛衣元素高领保暖	元素;高领;保暖	0;1;2	复古又带点甜美,是永不过时的元素,大气的轮廓,随性的款式,时尚度高,好搭易穿!高领设计,非常优雅,秋冬百搭穿着保暖舒适。
26	千趣会倍美丛冬季女装两面穿半身裙下摆两面穿印花纯色	下摆;两面穿;印花;纯色	1;0;2;3	2way正反两面穿式样
27	伶俐柠檬原创女装中国风复古汉服衬衫8.29浅宽袖系带	浅;宽袖;系带	0;1;2	《人间词话》云:淡语皆有味,浅语皆有致。品词如此,服饰亦如此。语浅意深,情致缠绵,意境幽婉,是含蓄的,柔美的,委婉的。无论时代如何前进,盘扣设计,宽袖,汉服系带映衬下的东方女儿始终美人如风。
28	韩版竖折连体衬衫长袖女式衬衣新款秋装女包邮连体式凹造型小翻领花苞袖	连体式;凹造型;小翻领;花苞袖	0;2;3;1	这款连体式衬衫,设计感非常独特,采用的是时尚气质小翻领的设计,既简约又不失气场,能够凸显你的优雅干练。而且时尚花苞袖地设计增加一抹甜美气息,无论是通勤职业范还是出街凹造型都是你的最佳选择哦。
29	秋冬欧美时尚麂皮绒外衣单排扣中长款外套女装情侣款仿皮草翻领撞色麂皮下摆	翻领;撞色;麂皮;下摆	1;0;2;3	领口撞色的翻领拼接,修饰颈部线条的同时,增加了视觉的层次感,麂皮与羊羔毛的面料拼接,展现出了一份时尚的北欧风情,拼接微微宽松的下摆,轻松修饰了腰部的粗线条。
30	秋冬装新款套装潮男士连帽卫衣青少年运动服外套男式帽衫防晒定位波点	防晒;定位;波点	1;0;2	时下定位出炉的防晒服,摒弃通俗的材质,采用了波点半透膜面料的设计,有一种隐约风格,具有防晒功能,是街头潮男春夏必备的单品。
31	秋冬仿狐狸毛大翻领欧美修身长款皮草大衣冬装新款女仿皮草大毛领压制宽度	大毛领;压制;宽度	1;0;2	皮草的面料设计,更显一份十足的轻奢感,凸显出优雅的名媛范,层层的缝线压制,打破臃肿的同时,丰富了视觉感官,大毛领的装饰,轻松修饰颈部线条,视觉削弱肩部宽度。
32	惠首尚格释春季女装七分袖修身蕾丝裙拼接雪纺连衣裙-镂空裙摆褶皱蕾丝	镂空;裙摆;褶皱;蕾丝	1;2;3;0	飘逸的裙摆设计,褶皱的样式,蕾丝镂空的设计更加的具有女性魅力,整体展现了女性的高贵女性气质。
33	美国轰炸机经典款飞行夹克/皮衣皮毛一体羊皮翻领有型拼色	羊皮;翻领;有型;拼色	2;3;0;1	这款气质有型的机车夹克,最大的设计亮点在于,拼色的设计大气时尚,经典百搭,羊皮材质制作,触感细腻,尽显街头朋克的随性气质。翻领造型,彰显型男魅力。
34	非池中时尚男装新款立体印花斜门襟圆领针织背心贴身印花立体斜拉链	贴身;印花;立体;斜拉链	2;1;0;3	立体印花休闲背心,版形贴身,轮廓简约,线条利落。前后片均采用立体印花工艺,色调简约,层次感强,时尚百搭。拉链装饰,斜拉链设计极具装饰感,拉开
35	菱形玻璃窗斜角拼接阔腿裤-冲击原创针织	冲击;原创;针织	0;2;1	babyghost在2010年创立于纽约,是一个散发着爱与真诚的女装品牌,每个系列都有属于自己的故事,传递出都市女性对自我的坚持。面对潮流的冲击,babyghost始终以针织面料为主,坚持做原创设计,关注每一个细节,希望顾客借助babyghost的服饰找到最美的自己
36	高歌春秋装新款女士复古连衣裙收腰显瘦系带浓印花收腰花型	浓;印花;收腰;花型	3;1;2;0	花型时尚的拼接,有点像旗袍的印花,优美雅致。收腰的设计,展现性感腰线,收型的袖口设计,名族风更浓
37	维拉德桑夏装女衬衫短袖翻领修身女装上衣雪纺衬衣原价下摆衬衫领弧形花边袖	下摆;衬衫领;弧形;花边袖	1;3;0;2	衬衫领设计,优雅大方,花边袖设计,可爱优雅,下摆弧形设计,修饰身形,开衫设计,穿着舒适。
38	欧美夏季新款性感v领礼服露背修身绷带裙晚宴会夜店裙深v曲线露背	深v;曲线;露背	0;2;1	性感深v和露背设计,使性感慢慢溢出,凹凸感十足,腰身曲线被包裹得恰到好处,露背设计更显阳光、健康的质感,巧妙的肩带做工,臀部包裹凸显玲珑身材,
39	所在新款偏门襟可调节袖纯色立领长袖衬衫女中式高领美观不规则	中式;高领;美观;不规则	3;1;2;0	不规则高领设计,精致特别而不失美观,中式风格浓郁的偏襟设计,挽起随性,垂落自然,温润柔软的线条,凸显女性气质。
40	费阁夏季薄款男裤免烫抗皱长裤白色直筒修身商务时尚休闲裤男微修身版型立体剪裁	微修身;版型;立体;剪裁	0;3;2;1	简洁明了的线条,配合微修身的剪裁,穿着起来利落大方。立体剪裁结合精湛打版工艺,a、b版型双版设计,使裤子更合体舒适。对于职场精英男士来说,如此的一款性价比高的休闲裤是再合适不过了。
41	因为夏季新款水墨印花短袖裙子中国风气质裙装纯棉连衣裙女中式棉质图案	中式;棉质;图案	1;0;2	运用的是棉质的质地,质地十分的天然环保健康而且舒适,满足最基础的舒适诉求。色调方面干净利落,利用中式经典水墨画式样的图案,来突出这种气质感和华丽的感觉,回眸间值得去回味的。
42	玛洛薇夏装新款真丝连衣裙短袖桑蚕丝裙子女修身大牌女装蛋糕式裙摆珠花收腰	蛋糕式;裙摆;珠花;收腰	0;1;2;3	假两件设计,奢华与优雅展露无遗。下半身蛋糕式裙摆,经典靓丽。腰部蝴蝶结装饰,精致的珠花,更显档次。收腰款式,拉升身材比例。
43	花笙记民族复古中国风繁花唐装男修身长袖中式外套印花盘扣立领棉麻图案透气	棉麻;图案;透气	1;0;2	布满衣身的植物花卉图案,轻松点亮视觉效果的同时更显雅致,即洋气又符合当下的潮流趋势。唐装款式,复古的样式,将中国风展现的同时更富时尚韵味。棉麻材质,柔软透气,不闷热。
44	春夏装新款气质卫衣女士休闲高端套装韩版显瘦运动型衣服绿色皮肤漂染	绿色;皮肤;漂染	1;2;0	纯天然种植棉花,天然柔和,皮肤接触无刺激,无异味,无污染,无漂染,无任何添加剂,气息清晰自然是绝对的温暖健康,环保的绿色产品。
45	【秒杀9.9元】言吾秋装新款女装时尚显瘦拼接蕾丝中袖连衣裙雕花荷叶袖雪纺	雕花;荷叶袖;雪纺	1;2;0	甜美的荷叶袖,让纤臂尽然展现魅力,优雅之情顿生,精致华美的雪纺雕花,让衣身立体感十足,凸显精致靓丽女人味儿。
